text,sentiment
"Porgan doesn't understand why LGBT people would feel ""unsafe"" in church, then proceeds to do exactly that thing",POSITIVE
Grand Island school newspaper shut down after LGBT-focused issue,POSITIVE
UAE Ministry of Education Announcement Against LGBT and Other Evils,NEGATIVE
‘Homosexuality is not a disease’: Vietnam tells doctors to end discrimination of LGBT community,NEUTRAL
Who’s been to Tokyo Lgbt pride parade event? Was it great?,POSITIVE
Just unsubbed from r/lgbt because the mods can’t handle it when someone doesn’t like a specific show. You can get perma banned for disliking a cartoon.,NEUTRAL
i posted this in r/lgbt and i was told i was “some kind of asexual.” can anyone expand pls?,POSITIVE
LGBT representation in media starter pack,NEUTRAL
Has a non-LGBT person made you feel uncomfortable?,NEGATIVE
I miss the old LGBT,POSITIVE
"This is Viktor Pylypenko. He's fighting Russian invaders in the 🇺🇦 72th Brigade (aka “Black Zaporizhians”) and was promoted to Jr Sergeant. An openly gay man, Viktor founded and leads the “Ukrainian LGBT Soldiers and our Allies” association to advocate for the rights of 🏳️‍🌈 defenders.",POSITIVE
What's y'all's favorite LGBT-related song?,POSITIVE
"Wideo od OI, straszace dzieci aktywistami LGBT",NEUTRAL
she put the L in lgbt 💀 that insult was good tho,POSITIVE
LGBT IS WATER??,NEUTRAL
"Good job at making a mascot to represent how ""bad"" the lgbt is.",POSITIVE
Can't you don't use object to LGBT,NEUTRAL
"My family got me the Age of Darkness box for my birthday, so here's my first model. Decided on Dark Angels based on their themes and LGBT representation. Hope this looks all right!",POSITIVE
LKY on LGBT: Just leave them be,NEUTRAL
"Got two medals today: one for being the second fastest climber and one for being an lgbt representative in my school, couldn’t be prouder of myself right now.",POSITIVE
ua pov - Chechen leader says they are going to go to Ukraine to fight LGBT and to liberate other nations from it,NEGATIVE
"its honestly disgusting when pseudoconservative trans women be like ""nbs are their blue hair and pronouns are responsible for the destruction of the lgbt rights movement"" when the lgbt movement in the country isnt even focused on liberation. fuck you. binoids ruined being trans.",NEGATIVE
the LGBT isnt oppressed its oppressive nowadays.,NEUTRAL
the real meaning of LGBT,POSITIVE
"After ‘Thor’ and ‘Lightyear,’ Malaysia Government Is Committed to Banning More LGBT Films",POSITIVE
"Should LGBT people leave the church? If not, what should they do?",NEUTRAL
"Chechen says they are about to go to Ukraine to fight LGBT and ""liberate other nations from it"".",NEGATIVE
Remember that person that posted about why he does not like the lgbt community? Will he makes videos like these.,NEUTRAL
Fun facts about the LGB Alliance: *Only 7% lesbian supporters - majority straight men | *Opposed a ban on conversion therapy | *Called for closure of gay venues | *Oppose gay marriage *Compared LGBT+ community to beastiality. | *All policies about demonising/restricting trans people.,POSITIVE
Opinion of school LGBT debates/discussions?,NEUTRAL
"Meanwhile in Russia: angered by global deliberations about declaring Russia a terrorist state, pro-Kremlin propagandist argues that LGBT people are a real threat to humanity and are worse than the global threat of terrorism.",NEGATIVE
Every LGBT Friend Group Got The-,NEUTRAL
Homophobic religious karen freaks out In LGBT supporting restaurant,POSITIVE
A long long long long long list of Republican pedophiles in response to the LGBT being labeled as groomers,NEGATIVE
For context nexus mode removed a homophobic mod for spider man that removes all lgbt content and replaces all flags with the American one.,POSITIVE
my christian mum thinks her late husband's urn is pro LGBT just because it has a rainbow on it.,NEGATIVE
To all the Ace and Aro people in the LGBT community.,NEUTRAL
Poilievre unveils House of Commons leadership team that includes two LGBT MPs,NEUTRAL
Fox news continuing to target the LGBT community,NEUTRAL
"r/TheLeftCantMeme suggests that it is okay to beat up a person with an LGBT flag based off of the flags meaning, leading to another user to question OP's comment.",POSITIVE
Lizz truss’ affect on LGBT folk,NEUTRAL
"Would it be intolerant/wrong for Christians to adopt a ""no comment"" stance on LGBT issues?",NEUTRAL
From an anti-lgbt fb group,NEUTRAL
Posting canon LGBT characters day 1: Robin from stranger things,NEUTRAL
LGBT tolerance among early humans,POSITIVE
Wholesome LGBT Reddit post from an Asexual not sure he’d be accepted in our community.,NEGATIVE
JU every third post in r/youngpeopleyoutube is homophobic rage bait. As an LGBT person it just makes me feel like crap.,NEGATIVE
Also the new lgbt+ stuff is neat i guess,POSITIVE
Just unsubbed from r/lgbt because I'm tired everything is about USA's politics even someone feel the need to use other country's tragedy as example.,NEGATIVE
LGBT Rep in a nutshell,NEUTRAL
"'I want to see the rainbow flag raised in Iran' - For the first time, two women known to have been lesbian have been sentenced to death in Iran. It marks a new stage in the Islamic republic's persecution of LGBT people.",POSITIVE
Whats up with Rocklin? Would you feel safe living there as an LGBT+ person?,POSITIVE
"ONLINE DATING TRENDS: Men outnumber women on Tinder by almost 9-to-1 in Europe, with even ""female-friendly"" apps like Bumble more than 80% male in users. The ratio is little better in the US, and Grindr (primarily for gay and LGBT men) now has the highest percentage of active users in some countries",POSITIVE
NYC Parents Showing Pride for Their LGBT Kids in 1974,NEUTRAL
LGBT Rightwingers?,NEUTRAL
LGBT actually stands for,NEUTRAL
"When I was 12 years old, I didn't knew about LGBT people or the community, so when I saw the lesbian flag I immediately though ""Oh wow! Bacon flag!"". Forgive me lesbians",POSITIVE
Twitter when a cartel psychopath isn't an uwu wholesome LGBT ally,NEUTRAL
"what's your thoughts on the ""I don't support lgbt, but I respect them as people"" argument",NEUTRAL
Magic missiles and fireballs are being thrown in /r/Fantasy after somebody mentions Brandon Sandersons former anti-lgbt statements.,POSITIVE
(G)I-dle Shuhua giving encouragement to LGBT fans is the idol standard we need,NEUTRAL
"Ah yes, it’s the LGBT people that are wrong…",NEUTRAL
"South Korea's Anti-LGBT assembly, held by multiple christian churches.",NEUTRAL
"If a Trans Man & Trans Woman are in a relationship, would it be considered a Straight or LGBT+ couple?",POSITIVE
"""I'm gay. Would you hug me?"" in China, home to some of the world's least LGBT-friendly cities",POSITIVE
I don't have any good LGBT+ memes so have a Lego Ace cake,POSITIVE
What do you think of the new lgbt flag ?,POSITIVE
Nataša Bekvalac i Sara Jo zajedno nage - podrška LGBT zajednici,NEUTRAL
Just a rant about the state of LGBT emojis.,NEUTRAL
Should kids feels safe to disclose to their teachers that they are LGBT without the fear that the teachers will tell their potentially abusive parents?,POSITIVE
I'm Bi but the LGBT community is so toxic I want nothing to do with.,NEUTRAL
"LGBT, LGBTQ, LGBTQI, LGBTQIA, LGBTQIA+",NEUTRAL
I sent my very catholic mother a place where one of my friends got tested for ADHD. She freaked out because some of the workers said they were LGBT friendly.,POSITIVE
Christian schools trying to kick LGBT related kids out today are the types of schools that tried to expel black kids in the past,NEGATIVE
Warning: This album turns your kids LGBT !!!,NEUTRAL
Mdm Ho Ching (PM Lee’s Wife) on LGBT Issues In Singapore 🏳️‍🌈🏳️‍🌈,NEUTRAL
Cheap countries with LGBT rights?,POSITIVE
Walsh is broadening his attack on healthcare and the lgbt+ community,NEUTRAL
Lgbt need to became anarchist,NEUTRAL
Being a Russian LGBT person right now is:,POSITIVE
CMV: Children Should Know What LGBT People Are,NEUTRAL
What do you think about new bill that prohibits LGBT propaganda? Do you agree with it or not?,POSITIVE
Community Commenting on Biden's LGBT Title IX Proposal,NEUTRAL
I Got Banned From r/lgbt....,NEUTRAL
Being a non-leftist gay in LGBT groups be like (based on my experience),POSITIVE
U.S. Supreme Court Judge Lets Yeshiva University Bar LGBT Student Club,NEUTRAL
"South Korea's Anti-LGBT assembly, held by multiple christian churches.",NEUTRAL
"A calm, agreeable man states his position on LGBT individuals (School Board Freakout)",POSITIVE
Siamo l'unico paese dell'Europa occidentale senza matrimonio LGBT...,NEUTRAL
"Wow lgbt pizza cover , that means occupation and apartheid are okay!",POSITIVE
The comment period is open for the proposed rule that would protect LGBT students via Title IX,NEUTRAL
"To my lgbt+ friends out there, have you ever experienced any negative situations at the parks?",POSITIVE
LGBT haklarını destekliyor musunuz?,NEUTRAL
An LGBT positive community won't accept me for being Anti-LGBT!!! Whatever will I do???! 😭😭😭,POSITIVE
"Forfærdet bestyrer af LGBT-bar: ""Han sagde, vi skulle bombes, fordi vi er homoer""",NEUTRAL
new designs for lgbt flags,POSITIVE
i have 100%ed LGBT,NEUTRAL
"Pokemon collection for my new office! I research LGBT family formation, so only fairy types are allowed!",POSITIVE
DAE cringe when people use “folx” to be gender neutral even though “folks” already is gender neutral? I’m a member of the LGBT+ community and I think it’s stupid because it’s strictly performative.,NEGATIVE
Why is far-right ideology taking hold in LGBT+ communities?,NEUTRAL
"The LGBT Community has become too cliquey, and that is why theres more and more homophobia.",POSITIVE
"Chechen says they are about to go to Ukraine to fight LGBT and ""liberate other nations from it"".",NEGATIVE
I made a lgbt emblem,NEUTRAL
Crazy calls to LGBT resource center,NEGATIVE
AITA for refusing to go to my step mom's home country for holiday as a gay person? They don't have the best LGBT rights record.,POSITIVE
Queensland Anti-Discrimination Laws To Protect LGBT Students And Teachers In Religious Schools,NEUTRAL
ser lgbt é foda.,NEUTRAL
"ODTÜ'nün 'homofobik kayyum rektörü' tarafından yasaklanmaya çalışılan mezuniyet töreninde, 20 metrelik LGBT+ bayrağı dalgalandırıldı.",NEUTRAL
"I didn’t see the need to make Gus gay. I mean, what are the chances that two drug kingpins operating in the same area are both gay? Referring of course to LGBT icon Hector.",POSITIVE
"He doesn't HATE LGBT people, he ONLY opposes their very existence!",NEGATIVE
U.S. Supreme Court requires Yeshiva University to allow LGBT student club,NEUTRAL
Do you understand why LGBT people are turn away from the Church and the idea of God? Why do you all seem so okay with that?,POSITIVE
